timestamp,subevent_index,true_distance_m,estimator_a_name,estimate_a_m,error_a_m,confidence_a,estimator_b_name,estimate_b_m,error_b_m,confidence_b,scene
0.0,1,1.0,Weighted LS,2.141636983375,1.1416369833750002,0.9249437739224562,Phase Slope,1.9941588087342936,0.9941588087342936,0.0,MULTIPATH
0.0,2,1.0,Weighted LS,1.8954586936474336,0.8954586936474336,0.9228477980026161,Phase Slope,1.8884953386064363,0.8884953386064363,0.0,MULTIPATH
0.0,3,1.0,Weighted LS,1.1381256279247385,0.13812562792473848,0.9365652190126442,Phase Slope,1.3816207256750255,0.3816207256750255,0.0,MULTIPATH
0.0,4,1.0,Weighted LS,-2.6153736985817297,-3.6153736985817297,0.9139512939013357,Phase Slope,-2.775917762953169,-3.775917762953169,0.0,MULTIPATH
0.0,5,1.0,Weighted LS,3.3868911307352025,2.3868911307352025,0.9293623190116277,Phase Slope,3.5144274149210877,2.5144274149210877,0.0,MULTIPATH
0.0,6,1.0,Weighted LS,1.8211338751422024,0.8211338751422024,0.9373262921257719,Phase Slope,1.8878716919452652,0.8878716919452652,0.0,NLOS
0.0,7,1.0,Weighted LS,2.2270894678004485,1.2270894678004485,0.9319195353251557,Phase Slope,2.197808861309365,1.197808861309365,0.0,MULTIPATH
0.0,8,1.0,Weighted LS,2.4545907104026714,1.4545907104026714,0.9492656543182717,Phase Slope,2.9471602673232793,1.9471602673232793,0.0,MULTIPATH
0.0,9,1.0,Weighted LS,-0.6682344687366366,-1.6682344687366366,0.8937891375948669,Phase Slope,-0.634942707020623,-1.634942707020623,0.0,MULTIPATH
0.0,10,1.0,Weighted LS,-0.028839843578790148,-1.0288398435787902,0.8961521084753795,Phase Slope,0.037458845668682086,-0.9625411543313179,0.0,MULTIPATH
0.0,11,1.0,Weighted LS,3.001750617404046,2.001750617404046,0.892793339570553,Phase Slope,3.0030033130081866,2.0030033130081866,0.0,MULTIPATH
0.0,12,1.0,Weighted LS,-3.382404186185066,-4.382404186185067,0.9266579876901729,Phase Slope,-3.72446415565592,-4.7244641556559195,0.0,MULTIPATH
0.0,13,1.0,Weighted LS,1.148283787133062,0.148283787133062,0.9265479347225464,Phase Slope,1.1324477982857732,0.13244779828577324,0.0,MULTIPATH
0.0,14,1.0,Weighted LS,1.079155703853451,0.07915570385345094,0.9367432015389299,Phase Slope,1.0857935119293365,0.08579351192933649,0.0,MULTIPATH
0.0,15,1.0,Weighted LS,4.501441877693274,3.5014418776932743,0.8998217634620785,Phase Slope,4.486618256869598,3.4866182568695976,0.0,MULTIPATH
0.0,16,1.0,Weighted LS,2.138629116266768,1.138629116266768,0.9204898674180775,Phase Slope,2.1471550549808724,1.1471550549808724,0.0,MULTIPATH
